,Date,Open,High,Low,Price,Volume
473,2017-09-28,887.5,899.05,882.65,897.3,87981
474,2017-09-29,898.8,910.0,897.0,900.5,43132
475,2017-10-03,904.6,910.15,899.5,904.25,72255
476,2017-10-04,904.35,905.1,896.6,897.75,44441
477,2017-10-05,900.0,903.25,897.0,899.7,76379
478,2017-10-06,899.0,902.95,897.5,899.85,56994
479,2017-10-09,902.25,902.25,896.1,897.45,30743
480,2017-10-10,897.5,907.35,896.5,899.95,38295
481,2017-10-11,901.0,907.5,893.35,894.0,64376
482,2017-10-12,900.0,910.05,893.45,905.1,40338
483,2017-10-13,910.0,928.35,910.0,924.85,77337
484,2017-10-16,928.05,935.95,920.5,928.55,50203
485,2017-10-17,925.0,927.5,920.9,925.4,31166
486,2017-10-18,924.45,937.5,924.45,935.9,50747
487,2017-10-19,933.25,933.35,920.5,923.0,13113
488,2017-10-23,927.5,933.3,918.8,931.3,56743
489,2017-10-24,931.3,938.45,926.45,932.55,132025
490,2017-10-25,934.0,934.0,892.45,897.25,251272
491,2017-10-26,887.2,905.0,879.65,899.0,580360
492,2017-10-27,902.0,904.7,890.5,894.7,139099
493,2017-10-30,900.0,908.05,896.5,906.95,43852
494,2017-10-31,906.5,906.5,899.5,903.5,58626
495,2017-11-01,907.5,913.1,906.35,910.35,42311
